679.12	420.57
679.22	421.19
679.32	421.63
679.42	421.80
679.53	421.81
679.63	422.47
679.73	422.74
679.83	422.21
679.93	422.20
680.03	421.69
680.13	421.50
680.23	421.43
680.33	421.35
680.44	421.09
680.54	421.43
680.64	421.76
680.74	422.07
680.84	422.62
680.94	422.99
681.04	423.19
681.14	422.83
681.24	422.69
681.34	422.70
681.45	422.82
681.55	422.53
681.65	422.00
681.75	421.65
681.85	421.52
681.95	421.44
682.05	421.27
682.15	421.41
682.26	421.19
682.35	421.28
682.46	421.36
682.56	421.80
682.66	421.71
682.76	421.72
682.86	422.23
682.96	422.07
683.06	422.32
683.16	422.45
683.27	422.43
683.37	421.66
683.47	420.93
683.57	419.73
683.67	419.59
683.77	419.51
683.87	419.79
683.97	420.20
684.08	420.69
684.17	421.25
684.28	421.59
684.38	421.81
684.48	421.47
684.58	421.55
684.68	421.47
684.78	421.30
684.88	420.98
684.98	420.93
685.09	420.74
685.19	421.10
685.29	420.29
685.39	419.63
685.49	419.25
685.59	419.04
685.69	418.83
685.79	419.24
685.89	419.28
686.00	419.57
686.10	420.34
686.20	421.42
686.30	421.95
686.40	422.35
686.50	421.98
686.60	422.04
686.70	422
